,U-Factor Wall [Btu/hr-ft2-°F],U-Factor Roof [Btu/hr-ft2-°F],Net Wall Area [ft2],Net Roof Area [ft2],Glass U-Factor [Btu/hr-ft2-°F],Glass SHGC,Infiltration (cfm/ft2),Window-Wall Ratio,Plug and Process [W/ft2],Lighting [W/ft2],Building Area [ft2],vpz (cfm),vot (cfm),Chiller,Boiler,DX Cooling,DX Heating,Purchased Cooling,Purchased Heating,Geothermal,Heating (kBtu/ft2),Cooling (kBtu/ft2),Fans (kBtu/ft2),Pumps (kBtu/ft2),Heat Rejection (kBtu/ft2),Total Lighting (kBtu/ft2),Total Equipment (kBtu/ft2),Climate Category_cool,Climate Category_hot,Climate Category_temperate,Building Type_Hospital,Building Type_Lodging,Building Type_Office,Building Type_Restaurant,Building Type_Retail,Building Type_School,Building Type_Warehouse
0,0.272,0.204,4770.950000000001,7105.24,0.4559054478315272,0.52694173637829,0.1074495453966716,26.08,1.0996835207,0.9921947497,184254.072142,56864.170672,35988.964912,1,1,0,1,0,0,0,10.94870337202254,1.6938928746685569,2.469516694531064,1.2399795846787198,0.227522493384525,8.949458130017213,7.371101208353776,1,0,0,0,0,0,0,0,1,0
1,0.2210416709460379,0.1510637445040561,4770.950000000001,7105.24,0.3571398463647005,0.3288649947642746,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.285589807314795,0.7746978861340601,1.39965171207315,1.835715057409035,0.0,3.38768286781173,7.371101208353776,1,0,0,0,0,0,0,0,1,0
2,0.2210416709460379,0.1510637445040561,4770.950000000001,7105.24,0.3561535491402233,0.3202666396056145,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.2487582212276775,0.7638438852061527,1.3991887452089264,1.822649103685393,0.0,3.3878886308624967,7.371101208353776,1,0,0,0,0,0,0,0,1,0
11,0.6189999999999999,0.22,1756.8200000000002,4238.889999999999,0.0781157880043371,0.7933549994139024,0.099660977975694,27.73,0.761340085,0.9900022389,59812.193686,96468.36864,20940.043488000003,0,0,1,1,0,0,0,21.100158550202156,7.129680393912981,17.022207019775482,0.0473811886064185,0.0,6.662682524939352,8.926996250682208,1,0,0,0,0,0,0,0,1,0
12,0.6189999999999999,0.22,1756.8200000000002,4238.889999999999,0.0781157880043371,0.7933549994139024,0.099660977975694,27.73,0.761340085,0.9900022389,59812.193686,88931.936256,20940.043488000003,0,0,1,1,0,0,0,19.92687988651679,5.545659118629505,13.071027900335888,0.0473811886064185,0.0,6.662682524939352,8.926996250682208,1,0,0,0,0,0,0,0,1,0
13,0.4675826865319483,0.22,2034.3700000000003,4238.889999999999,0.4095767727304498,0.3364836632866569,0.1093603211208634,16.4,0.761340085,0.4300015355,59812.193686,24889.635808,20940.043488000003,0,0,1,1,0,0,0,11.349617024645172,1.819501028691964,2.9927796923773244,0.0473811886064185,0.0,3.0672584838322297,8.926996250682208,1,0,0,0,0,0,0,0,1,0
15,0.2210416709460379,0.1510637445040561,4770.950000000001,7105.24,0.3571398463647006,0.3288649947642746,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.227461745473395,0.7611689655461944,1.3993430674970009,1.828976317496448,0.0,3.387940071625188,7.371101208353776,1,0,0,0,0,0,0,0,1,0
16,0.2210416709460379,0.1510637445040561,4770.950000000001,7105.24,0.2856351541495769,0.2664589672090642,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.1720600440546445,0.6928041919291847,1.4043842622407685,1.8284104691068412,0.0,3.3883515977267207,7.371101208353776,1,0,0,0,0,0,0,0,1,0
17,0.2136715709419581,0.1540583034034305,4744.16,7052.589999999999,0.3740814682549804,0.3363255649019596,0.0152370433917089,26.56,0.9552565169,0.3551217175,186539.46339,32922.309888,32511.03528,0,0,1,1,0,0,0,5.8742059925896735,2.2760071207686345,1.2406916523402358,2.4428181083447256,0.0,3.841479715108984,7.356857414298581,1,0,0,0,0,0,0,0,1,0
18,0.2136715709419581,0.1540583034034305,4744.16,7052.589999999999,0.3740814682549804,0.3363255649019596,0.0436651011611721,26.56,0.9552565169,0.3551217175,186539.46339,32930.785408,32511.03528,0,0,1,1,0,0,0,7.67010436477272,2.452065625779648,1.2442992003505624,2.443122971556866,0.0,3.8535218119885255,7.378045407542329,1,0,0,0,0,0,0,0,1,0
19,0.2210416709460379,0.1510683851166264,4770.950000000001,7122.31,0.3572111898774653,0.3288027620796416,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.246854913008092,0.7746464453713686,1.3997545935985332,1.8320113224952468,0.0,3.387734308574422,7.371101208353776,1,0,0,0,0,0,0,0,1,0
20,0.2098371603139835,0.1510637445040561,4770.950000000001,7105.24,0.3571398463647006,0.3288649947642746,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.25776035469869,0.7715085588471867,1.3996002713104585,1.830519540377193,0.0,3.38768286781173,7.371101208353776,1,0,0,0,0,0,0,0,1,0
